Date,Visitor,Visitor Score,Home Team,Home Score,Line,Bowl Name
12/17/2002,Cincinnati,19,North Texas,24,-7.5,New Orleans Bowl
12/18/2002,Marshall,38,Louisville,15,-3.0,GMAC Bowl
12/23/2002,Texas Tech,55,Clemson,15,-4.5,Tangerine Bowl
12/25/2002,New Mexico,13,U.C.L.A.,27,9.5,Las Vegas Bowl
12/25/2002,Tulane,36,Hawaii,28,13.5,Hawaii Bowl
12/26/2002,Boston College,51,Toledo,25,-4.0,Motor City Bowl
12/26/2002,Pittsburgh,38,Oregon State,13,2.0,Insight Bowl
12/27/2002,Southern Miss,23,Oklahoma State,33,9.5,Houston Bowl
12/27/2002,Nebraska,23,Mississippi,27,-6.5,Independence Bowl
12/27/2002,Kansas State,34,Arizona State,27,-17.0,Holiday Bowl
12/28/2002,West Virginia,22,Virginia,48,-5.5,Continental Tire Bowl
12/28/2002,Wisconsin,31,Colorado,28,7.0,Alamo Bowl
12/30/2002,Minnesota,29,Arkansas,14,8.5,Music City Bowl
12/30/2002,Wake Forest,38,Oregon,17,8.0,Seattle Bowl
12/31/2002,Iowa State,16,Boise State,34,12.0,Humanitarian Bowl
12/31/2002,Purdue,34,Washington,24,2.0,Sun Bowl
12/31/2002,Colorado State,3,Texas Christian,17,-3.0,Liberty Bowl
12/31/2002,Georgia Tech,21,Fresno State,30,-6.5,Silicon Valley Bowl
12/31/2002,Tennessee,3,Maryland,30,0.0,Peach Bowl
12/31/2002,Virginia Tech,20,Air Force,13,-11.0,San Francisco Bowl
01/01/2003,Louisiana State,20,Texas,35,10.5,Cotton Bowl
01/01/2003,Michigan,38,Florida,30,0.0,Outback Bowl
01/01/2003,Notre Dame,6,No Carolina State,28,0.0,Gator Bowl
01/01/2003,Penn State,9,Auburn,13,-7.5,Capital One Bowl
01/01/2003,Oklahoma,34,Washington State,14,-5.0,Rose Bowl
01/01/2003,Florida State,13,Georgia,26,7.0,Sugar Bowl
01/02/2003,Iowa,17,Southern Cal,38,4.5,Orange Bowl
01/03/2003,Ohio State,31,Miami-Florida,24,11.0,Fiesta Bowl
