Date,Visitor,Visitor Score,Home Team,Home Score,Line
12/17/2011,Temple,37,Wyoming,15,-7.0
12/17/2011,Utah State,23,Ohio,24,0.0
12/17/2011,UL-Lafayette,32,San Diego State,30,5.5
12/20/2011,Florida Intl,10,Marshall,20,-4.0
12/21/2011,Louisiana Tech,24,Texas Christian,31,10.0
12/22/2011,Arizona State,24,Boise State,56,14.5
12/24/2011,Nevada-Reno,17,Southern Miss,24,7.5
12/26/2011,North Carolina,24,Missouri,41,5.0
12/27/2011,Western Michigan,32,Purdue,37,1.0
12/27/2011,Louisville,24,No Carolina State,31,2.0
12/28/2011,Toledo,42,Air Force,41,-3.5
12/28/2011,California,10,Texas,21,3.5
12/29/2011,Notre Dame,14,Florida State,18,3.0
12/29/2011,Washington,56,Baylor,67,8.5
12/30/2011,Tulsa,21,Brigham Young,24,-2.5
12/30/2011,Rutgers,27,Iowa State,13,2.0
12/30/2011,Wake Forest,17,Mississippi State,23,7.0
12/30/2011,Iowa,14,Oklahoma,31,14.0
12/31/2011,Texas A+M,33,Northwestern,22,-8.5
12/31/2011,Utah,30,Georgia Tech,27,2.0
12/31/2011,U.C.L.A.,14,Illinois,20,2.5
12/31/2011,Cincinnati,31,Vanderbilt,24,1.0
12/31/2011,Virginia,24,Auburn,43,2.5
01/02/2012,Penn State,14,Houston,30,6.5
01/02/2012,Michigan State,33,Georgia,30,2.5
01/02/2012,Nebraska,13,South Carolina,30,3.0
01/02/2012,Florida,24,Ohio State,17,-3.0
01/02/2012,Wisconsin,38,Oregon,45,4.5
01/02/2012,Stanford,38,Oklahoma State,41,5.0
01/03/2012,Michigan,23,Virginia Tech,20,-3.0
01/04/2012,West Virginia,70,Clemson,33,3.0
01/06/2012,Kansas State,16,Arkansas,29,9.0
01/07/2012,S-M-U,28,Pittsburgh,6,4.0
01/08/2012,Arkansas State,20,Northern Illinois,38,-1.5
01/09/2012,Alabama,21,Louisiana State,0,-2.5
