Date,Visitor,Visitor Score,Home Team,Home Score,Line
08/28/1993,Florida State,42,Kansas,0,-26.0
08/29/1993,North Carolina,31,Southern Cal,9,8.0
09/02/1993,Akron,23,Central Michigan,13, 
09/02/1993,Mississippi,12,Auburn,16,3.5
09/02/1993,Northern Illinois,10,Iowa State,54, 
09/02/1993,Youngstown State,17,Western Michigan,13, 
09/04/1993,Arkansas State,6,Florida,44, 
09/04/1993,Arkansas,10,S-M-U,6,-13.5
09/04/1993,Ball State,12,Syracuse,35, 
09/04/1993,Bowling Green,16,Virginia Tech,33, 
09/04/1993,Brigham Young,34,New Mexico,31,-16.0
09/04/1993,California,27,U.C.L.A.,25,3.5
09/04/1993,Colgate,6,Rutgers,68, 
09/04/1993,Eastern Michigan,6,West Virginia,48, 
09/04/1993,Fresno State,39,Baylor,42,0.0
09/04/1993,Florida State,45,Duke,7,-29.5
09/04/1993,Houston,7,Southern Cal,49,10.5
09/04/1993,Indiana State,21,Air Force,63, 
09/04/1993,Kent State,0,Kentucky,35, 
09/04/1993,Louisiana State,0,Texas A+M,24,19.0
09/04/1993,Louisiana Tech,0,Tennessee,50, 
09/04/1993,Memphis,45,Mississippi State,35,3.0
09/04/1993,Miami-Florida,23,Boston College,7,-7.0
09/04/1993,Minnesota,20,Penn State,38,22.5
09/04/1993,Middle Tennessee,14,Hawaii,35, 
09/04/1993,Nevada-Reno,17,Wisconsin,35, 
09/04/1993,New Mexico State,10,Kansas State,34, 
09/04/1993,Northridge State,17,San Diego State,34, 
09/04/1993,North Texas,14,Nebraska,76, 
09/04/1993,Northwestern,12,Notre Dame,27,27.5
09/04/1993,Ohio,3,North Carolina,44, 
09/04/1993,Oklahoma,35,Texas Christian,3,-18.5
09/04/1993,Oregon,23,Colorado State,9,-8.0
09/04/1993,Oregon State,27,Wyoming,16,8.0
09/04/1993,Pacific,7,Texas Tech,55, 
09/04/1993,Austin Peay,10,Cincinnati,42, 
09/04/1993,Pittsburgh,14,Southern Miss,10,9.5
09/04/1993,Purdue,7,No Carolina State,20,10.0
09/04/1993,Rice,7,Ohio State,34,15.0
09/04/1993,South Carolina,23,Georgia,21,10.0
09/04/1993,San Jose State,24,Louisville,31, 
09/04/1993,Stanford,14,Washington,31,7.0
09/04/1993,Texas,14,Colorado,36,13.5
09/04/1993,Toledo,0,Indiana,27, 
09/04/1993,Tulane,17,Alabama,31,32.5
09/04/1993,Tulsa,25,Iowa,26,11.5
09/04/1993,Nevada-Las Vegas,14,Clemson,24, 
09/04/1993,Utah,0,Arizona State,38,13.5
09/04/1993,UTEP,6,Arizona,24,28.0
